,Expression
0,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Neutral
10,Neutral
11,Neutral
12,Neutral
13,Neutral
14,Neutral
15,Neutral
16,Neutral
17,Neutral
18,Neutral
19,Neutral
20,Neutral
21,Neutral
22,Neutral
23,Neutral
24,Neutral
25,Neutral
26,Neutral
27,Neutral
28,Neutral
29,Neutral
30,Neutral
31,Neutral
32,Neutral
33,Neutral
34,Neutral
35,Neutral
36,Neutral
37,Neutral
38,Neutral
39,Neutral
40,Neutral
41,Neutral
42,Neutral
43,Happy
44,Happy
45,Happy
46,Happy
47,Happy
48,Happy
49,Happy
50,Happy
51,Happy
52,Happy
53,Happy
54,Happy
55,Happy
56,Happy
57,Happy
58,Happy
59,Happy
60,Happy
61,Happy
62,Happy
63,Happy
64,Happy
65,Happy
66,Happy
67,Happy
68,Happy
69,Happy
70,Happy
71,Happy
72,Happy
73,Happy
74,Happy
75,Happy
76,Happy
77,Happy
78,Happy
79,Happy
80,Happy
81,Happy
82,Happy
83,Happy
84,Happy
85,Happy
86,Happy
87,Happy
88,Happy
89,Happy
90,Happy
91,Happy
92,Happy
93,Happy
94,Happy
95,Happy
96,Happy
97,Happy
98,Happy
99,Happy
100,Happy
101,Happy
102,Happy
103,Happy
104,Happy
105,Happy
106,Happy
107,Happy
108,Happy
109,Happy
110,Happy
111,Happy
112,Happy
113,Happy
114,Happy
115,Happy
116,Happy
117,Happy
118,Happy
119,Happy
120,Happy
121,Happy
122,Happy
123,Happy
124,Happy
125,Happy
126,Happy
127,Happy
128,Happy
129,Happy
130,Happy
131,Happy
132,Happy
133,Happy
134,Happy
135,Happy
136,Happy
137,Happy
138,Happy
139,Happy
140,Happy
141,Happy
142,Happy
143,Neutral
144,Neutral
145,Neutral
146,Neutral
147,Neutral
148,Neutral
149,Neutral
150,Neutral
151,Neutral
152,Neutral
153,Neutral
154,Neutral
155,Neutral
156,Neutral
157,Neutral
158,Neutral
159,Neutral
160,Neutral
161,Neutral
162,Neutral
163,Neutral
164,Neutral
165,Neutral
166,Neutral
167,Neutral
168,Neutral
169,Neutral
170,Neutral
171,Neutral
172,Neutral
173,Neutral
174,Neutral
175,Neutral
176,Neutral
177,Neutral
178,Neutral
179,Neutral
180,Neutral
181,Neutral
182,Neutral
183,Neutral
184,Neutral
185,Neutral
186,Neutral
187,Neutral
188,Neutral
189,Neutral
190,Neutral
191,Neutral
192,Neutral
193,Neutral
194,Neutral
195,Neutral
196,Neutral
197,Neutral
198,Neutral
199,Neutral
200,Neutral
201,Neutral
202,Neutral
203,Neutral
204,Neutral
205,Neutral
206,Neutral
207,Neutral
208,Neutral
209,Neutral
210,Neutral
211,Neutral
212,Neutral
213,Neutral
214,Neutral
215,Neutral
216,Neutral
217,Neutral
218,Neutral
219,Neutral
220,Neutral
221,Neutral
222,Fear
223,Fear
224,Fear
225,Fear
226,Fear
227,Fear
228,Fear
229,Fear
230,Fear
231,Fear
232,Fear
233,Fear
234,Fear
235,Fear
236,Fear
237,Fear
238,Fear
239,Fear
240,Fear
241,Fear
242,Fear
243,Fear
244,Fear
245,Fear
246,Fear
247,Fear
248,Fear
249,Fear
250,Fear
251,Fear
252,Fear
253,Fear
254,Fear
255,Fear
256,Fear
257,Fear
258,Fear
259,Fear
260,Fear
261,Fear
262,Fear
263,Fear
264,Fear
265,Fear
266,Fear
267,Fear
268,Fear
269,Fear
270,Fear
271,Fear
272,Fear
273,Fear
274,Fear
275,Fear
276,Fear
277,Fear
278,Fear
279,Fear
280,Fear
281,Fear
282,Fear
283,Fear
284,Fear
285,Fear
286,Fear
287,Fear
288,Fear
289,Fear
290,Fear
291,Fear
292,Fear
293,Fear
294,Fear
295,Fear
296,Fear
297,Fear
298,Fear
299,Fear
300,Fear
301,Fear
302,Fear
303,Fear
304,Fear
305,Fear
306,Fear
307,Fear
308,Fear
309,Fear
310,Fear
311,Fear
312,Fear
313,Fear
314,Fear
315,Fear
316,Fear
317,Fear
318,Fear
319,Fear
320,Fear
321,Fear
322,Neutral
323,Neutral
324,Neutral
325,Neutral
326,Neutral
327,Neutral
328,Neutral
329,Neutral
330,Neutral
331,Neutral
332,Neutral
333,Neutral
334,Neutral
335,Neutral
336,Neutral
337,Neutral
338,Neutral
339,Neutral
340,Neutral
341,Neutral
342,Neutral
343,Neutral
344,Neutral
345,Neutral
346,Neutral
347,Neutral
348,Neutral
349,Neutral
350,Neutral
351,Neutral
352,Neutral
353,Neutral
354,Neutral
355,Neutral
356,Neutral
357,Neutral
358,Neutral
359,Neutral
360,Neutral
361,Neutral
362,Neutral
363,Neutral
364,Neutral
365,Neutral
366,Neutral
367,Neutral
368,Neutral
369,Neutral
370,Neutral
371,Neutral
372,Neutral
373,Neutral
374,Neutral
375,Neutral
376,Neutral
377,Neutral
378,Neutral
379,Neutral
380,Neutral
381,Neutral
382,Neutral
383,Neutral
384,Neutral
385,Neutral
386,Neutral
387,Neutral
388,Neutral
389,Neutral
390,Neutral
391,Neutral
392,Neutral
393,Neutral
394,Neutral
395,Neutral
396,Neutral
397,Neutral
398,Neutral
399,Neutral
400,Neutral
401,Neutral
402,Neutral
403,Neutral
404,Neutral
405,Neutral
406,Neutral
407,Neutral
408,Disgust
409,Disgust
410,Disgust
411,Disgust
412,Disgust
413,Disgust
414,Disgust
415,Disgust
416,Disgust
417,Disgust
418,Disgust
419,Disgust
420,Disgust
421,Disgust
422,Disgust
423,Disgust
424,Disgust
425,Disgust
426,Disgust
427,Disgust
428,Disgust
429,Disgust
430,Disgust
431,Disgust
432,Disgust
433,Disgust
434,Disgust
435,Disgust
436,Disgust
437,Disgust
438,Disgust
439,Disgust
440,Disgust
441,Disgust
442,Disgust
443,Disgust
444,Disgust
445,Disgust
446,Disgust
447,Disgust
448,Disgust
449,Disgust
450,Disgust
451,Disgust
452,Disgust
453,Disgust
454,Disgust
455,Disgust
