,Expression
0,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Neutral
10,Neutral
11,Neutral
12,Neutral
13,Neutral
14,Neutral
15,Neutral
16,Neutral
17,Neutral
18,Neutral
19,Neutral
20,Neutral
21,Neutral
22,Neutral
23,Neutral
24,Neutral
25,Neutral
26,Neutral
27,Neutral
28,Neutral
29,Neutral
30,Neutral
31,Neutral
32,Neutral
33,Neutral
34,Neutral
35,Neutral
36,Neutral
37,Neutral
38,Neutral
39,Neutral
40,Neutral
41,Neutral
42,Neutral
43,Neutral
44,Neutral
45,Neutral
46,Neutral
47,Neutral
48,Neutral
49,Neutral
50,Neutral
51,Neutral
52,Neutral
53,Neutral
54,Neutral
55,Neutral
56,Neutral
57,Neutral
58,Neutral
59,Neutral
60,Neutral
61,Neutral
62,Neutral
63,Neutral
64,Neutral
65,Neutral
66,Neutral
67,Neutral
68,Neutral
69,Neutral
70,Neutral
71,Neutral
72,Neutral
73,Neutral
74,Neutral
75,Neutral
76,Neutral
77,Neutral
78,Neutral
79,Neutral
80,Neutral
81,Neutral
82,Neutral
83,Neutral
84,Neutral
85,Neutral
86,Neutral
87,Neutral
88,Neutral
89,Neutral
90,Neutral
91,Neutral
92,Neutral
93,Neutral
94,Neutral
95,Neutral
96,Neutral
97,Neutral
98,Neutral
99,Neutral
100,Neutral
101,Neutral
102,Neutral
103,Neutral
104,Neutral
105,Neutral
106,Neutral
107,Neutral
108,Neutral
109,Neutral
110,Neutral
111,Neutral
112,Neutral
113,Neutral
114,Neutral
115,Neutral
116,Neutral
117,Neutral
118,Neutral
119,Neutral
120,Neutral
121,Neutral
122,Neutral
123,Neutral
124,Neutral
125,Neutral
126,Neutral
127,Neutral
128,Neutral
129,Neutral
130,Neutral
131,Neutral
132,Neutral
133,Neutral
134,Neutral
135,Neutral
136,Neutral
137,Neutral
138,Neutral
139,Neutral
140,Neutral
141,Neutral
142,Neutral
143,Neutral
144,Neutral
145,Neutral
146,Neutral
147,Neutral
148,Neutral
149,Neutral
150,Neutral
151,Neutral
152,Neutral
153,Neutral
154,Neutral
155,Neutral
156,Neutral
157,Neutral
158,Neutral
159,Happy
160,Happy
161,Happy
162,Happy
163,Happy
164,Happy
165,Happy
166,Happy
167,Happy
168,Happy
169,Happy
170,Happy
171,Happy
172,Happy
173,Happy
174,Happy
175,Happy
176,Happy
177,Happy
178,Happy
179,Happy
180,Happy
181,Happy
182,Happy
183,Happy
184,Happy
185,Happy
186,Happy
187,Happy
188,Happy
189,Happy
190,Happy
191,Happy
192,Happy
193,Happy
194,Happy
195,Happy
196,Happy
197,Happy
198,Happy
199,Happy
200,Happy
201,Happy
202,Happy
203,Happy
204,Happy
205,Happy
206,Happy
207,Happy
208,Happy
209,Happy
210,Happy
211,Happy
212,Happy
213,Happy
214,Happy
215,Happy
216,Happy
217,Happy
218,Happy
219,Happy
220,Happy
221,Happy
222,Happy
223,Happy
224,Happy
225,Happy
226,Happy
227,Happy
228,Happy
229,Happy
230,Happy
231,Happy
232,Happy
233,Happy
234,Happy
235,Happy
236,Happy
237,Happy
238,Happy
239,Happy
240,Happy
241,Happy
242,Happy
243,Happy
244,Happy
245,Happy
246,Happy
247,Happy
248,Happy
249,Happy
250,Happy
251,Happy
252,Happy
253,Happy
254,Happy
255,Happy
256,Happy
257,Happy
258,Happy
259,Neutral
260,Neutral
261,Neutral
262,Neutral
263,Neutral
264,Neutral
265,Neutral
266,Neutral
267,Neutral
268,Neutral
269,Neutral
270,Neutral
271,Neutral
272,Neutral
273,Neutral
274,Neutral
275,Neutral
276,Neutral
277,Neutral
278,Neutral
279,Neutral
280,Neutral
281,Neutral
282,Neutral
283,Neutral
284,Neutral
285,Neutral
286,Neutral
287,Neutral
288,Neutral
289,Neutral
290,Neutral
291,Neutral
292,Neutral
293,Neutral
294,Neutral
295,Neutral
296,Neutral
297,Neutral
298,Neutral
299,Neutral
300,Neutral
301,Neutral
302,Neutral
303,Neutral
304,Neutral
305,Neutral
306,Neutral
307,Neutral
308,Neutral
309,Neutral
310,Neutral
311,Neutral
312,Neutral
313,Neutral
314,Neutral
315,Neutral
316,Neutral
317,Neutral
318,Neutral
319,Neutral
320,Neutral
321,Neutral
322,Neutral
323,Neutral
324,Neutral
325,Neutral
326,Neutral
327,Neutral
328,Neutral
329,Neutral
330,Neutral
331,Neutral
332,Neutral
333,Sad
334,Sad
335,Sad
336,Sad
337,Sad
338,Sad
339,Sad
340,Sad
341,Sad
342,Sad
343,Sad
344,Sad
345,Sad
346,Sad
347,Sad
348,Sad
349,Sad
350,Sad
351,Sad
352,Sad
353,Sad
354,Sad
355,Sad
356,Sad
357,Sad
358,Sad
359,Sad
360,Sad
361,Sad
362,Sad
363,Sad
364,Sad
365,Sad
366,Sad
367,Sad
368,Sad
369,Sad
370,Sad
371,Sad
372,Sad
373,Sad
374,Sad
375,Sad
376,Sad
377,Sad
378,Sad
379,Sad
380,Sad
381,Sad
382,Sad
383,Sad
384,Sad
385,Sad
386,Sad
387,Sad
388,Sad
389,Sad
390,Sad
391,Sad
392,Sad
393,Sad
394,Sad
395,Sad
396,Sad
397,Sad
398,Sad
399,Sad
400,Sad
401,Sad
402,Sad
403,Sad
404,Sad
405,Sad
406,Sad
407,Sad
408,Sad
409,Sad
410,Sad
411,Sad
412,Sad
413,Sad
414,Sad
415,Sad
416,Sad
417,Sad
418,Sad
419,Sad
420,Sad
421,Sad
422,Sad
423,Sad
424,Sad
425,Sad
426,Sad
427,Sad
428,Sad
429,Sad
430,Sad
431,Sad
432,Sad
433,Neutral
434,Neutral
435,Neutral
436,Neutral
437,Neutral
438,Neutral
439,Neutral
440,Neutral
441,Neutral
442,Neutral
443,Neutral
444,Neutral
445,Neutral
446,Neutral
447,Neutral
448,Neutral
449,Neutral
450,Neutral
451,Neutral
452,Neutral
453,Neutral
454,Neutral
455,Neutral
