,Expression
0,Neutral
1,Neutral
2,Neutral
3,Neutral
4,Neutral
5,Neutral
6,Neutral
7,Neutral
8,Neutral
9,Neutral
10,Neutral
11,Neutral
12,Neutral
13,Neutral
14,Neutral
15,Neutral
16,Neutral
17,Neutral
18,Neutral
19,Neutral
20,Neutral
21,Neutral
22,Neutral
23,Neutral
24,Neutral
25,Neutral
26,Neutral
27,Neutral
28,Neutral
29,Neutral
30,Neutral
31,Neutral
32,Neutral
33,Neutral
34,Neutral
35,Neutral
36,Neutral
37,Neutral
38,Neutral
39,Neutral
40,Neutral
41,Neutral
42,Neutral
43,Neutral
44,Neutral
45,Neutral
46,Neutral
47,Neutral
48,Neutral
49,Neutral
50,Neutral
51,Neutral
52,Happy
53,Happy
54,Happy
55,Happy
56,Happy
57,Happy
58,Happy
59,Happy
60,Happy
61,Happy
62,Happy
63,Happy
64,Happy
65,Happy
66,Happy
67,Happy
68,Happy
69,Happy
70,Happy
71,Happy
72,Happy
73,Happy
74,Happy
75,Happy
76,Happy
77,Happy
78,Happy
79,Happy
80,Happy
81,Happy
82,Happy
83,Happy
84,Happy
85,Happy
86,Happy
87,Happy
88,Happy
89,Happy
90,Happy
91,Happy
92,Happy
93,Happy
94,Happy
95,Happy
96,Happy
97,Happy
98,Happy
99,Happy
100,Happy
101,Happy
102,Happy
103,Happy
104,Happy
105,Happy
106,Happy
107,Happy
108,Happy
109,Happy
110,Happy
111,Happy
112,Happy
113,Happy
114,Happy
115,Happy
116,Happy
117,Happy
118,Happy
119,Happy
120,Happy
121,Happy
122,Happy
123,Happy
124,Happy
125,Happy
126,Happy
127,Happy
128,Happy
129,Happy
130,Happy
131,Happy
132,Happy
133,Happy
134,Happy
135,Happy
136,Happy
137,Happy
138,Happy
139,Happy
140,Happy
141,Happy
142,Happy
143,Happy
144,Happy
145,Happy
146,Happy
147,Happy
148,Happy
149,Happy
150,Happy
151,Happy
152,Neutral
153,Neutral
154,Neutral
155,Neutral
156,Neutral
157,Neutral
158,Neutral
159,Neutral
160,Neutral
161,Neutral
162,Neutral
163,Neutral
164,Neutral
165,Neutral
166,Neutral
167,Neutral
168,Neutral
169,Neutral
170,Neutral
171,Neutral
172,Neutral
173,Neutral
174,Neutral
175,Neutral
176,Neutral
177,Neutral
178,Neutral
179,Neutral
180,Neutral
181,Neutral
182,Neutral
183,Neutral
184,Neutral
185,Neutral
186,Neutral
187,Neutral
188,Neutral
189,Neutral
190,Neutral
191,Neutral
192,Neutral
193,Neutral
194,Neutral
195,Neutral
196,Neutral
197,Neutral
198,Neutral
199,Neutral
200,Neutral
201,Neutral
202,Neutral
203,Neutral
204,Neutral
205,Neutral
206,Neutral
207,Neutral
208,Neutral
209,Neutral
210,Neutral
211,Neutral
212,Neutral
213,Neutral
214,Neutral
215,Neutral
216,Neutral
217,Neutral
218,Neutral
219,Neutral
220,Neutral
221,Neutral
222,Neutral
223,Neutral
224,Neutral
225,Neutral
226,Neutral
227,Neutral
228,Neutral
229,Neutral
230,Neutral
231,Neutral
232,Neutral
233,Neutral
234,Neutral
235,Neutral
236,Neutral
237,Neutral
238,Neutral
239,Neutral
240,Neutral
241,Neutral
242,Neutral
243,Neutral
244,Neutral
245,Neutral
246,Neutral
247,Neutral
248,Neutral
249,Neutral
250,Neutral
251,Neutral
252,Neutral
253,Neutral
254,Neutral
255,Neutral
256,Neutral
257,Neutral
258,Neutral
259,Neutral
260,Neutral
261,Neutral
262,Neutral
263,Neutral
264,Neutral
265,Neutral
266,Neutral
267,Neutral
268,Neutral
269,Neutral
270,Neutral
271,Neutral
272,Neutral
273,Surprise
274,Surprise
275,Surprise
276,Surprise
277,Surprise
278,Surprise
279,Surprise
280,Surprise
281,Surprise
282,Surprise
283,Surprise
284,Surprise
285,Surprise
286,Surprise
287,Surprise
288,Surprise
289,Surprise
290,Surprise
291,Surprise
292,Surprise
293,Surprise
294,Surprise
295,Surprise
296,Surprise
297,Surprise
298,Surprise
299,Surprise
300,Surprise
301,Surprise
302,Surprise
303,Surprise
304,Surprise
305,Surprise
306,Surprise
307,Surprise
308,Surprise
309,Surprise
310,Surprise
311,Surprise
312,Surprise
313,Surprise
314,Surprise
315,Surprise
316,Surprise
317,Surprise
318,Surprise
319,Surprise
320,Surprise
321,Surprise
322,Surprise
323,Surprise
324,Surprise
325,Surprise
326,Surprise
327,Surprise
328,Surprise
329,Surprise
330,Surprise
331,Surprise
332,Surprise
333,Surprise
334,Surprise
335,Surprise
336,Surprise
337,Surprise
338,Surprise
339,Surprise
340,Surprise
341,Surprise
342,Surprise
343,Surprise
344,Surprise
345,Surprise
346,Surprise
347,Surprise
348,Surprise
349,Surprise
350,Surprise
351,Surprise
352,Surprise
353,Surprise
354,Surprise
355,Surprise
356,Surprise
357,Surprise
358,Surprise
359,Surprise
360,Surprise
361,Surprise
362,Surprise
363,Surprise
364,Surprise
365,Surprise
366,Surprise
367,Surprise
368,Surprise
369,Surprise
370,Surprise
371,Surprise
372,Surprise
373,Neutral
374,Neutral
375,Neutral
376,Neutral
377,Neutral
378,Neutral
379,Neutral
380,Neutral
381,Neutral
382,Neutral
383,Neutral
384,Neutral
385,Neutral
386,Neutral
387,Neutral
388,Neutral
389,Neutral
390,Neutral
391,Neutral
392,Neutral
393,Neutral
394,Neutral
395,Neutral
396,Neutral
397,Neutral
398,Neutral
399,Neutral
400,Neutral
401,Neutral
402,Neutral
403,Neutral
404,Neutral
405,Neutral
406,Neutral
407,Neutral
408,Neutral
409,Neutral
410,Neutral
411,Neutral
412,Neutral
413,Neutral
414,Neutral
415,Neutral
416,Neutral
417,Neutral
418,Neutral
419,Neutral
420,Neutral
421,Neutral
422,Neutral
423,Neutral
424,Neutral
425,Neutral
426,Neutral
427,Neutral
428,Neutral
429,Neutral
430,Neutral
431,Neutral
432,Neutral
433,Neutral
434,Neutral
435,Neutral
436,Neutral
437,Neutral
438,Neutral
439,Neutral
440,Neutral
441,Neutral
